id,clap_embedding,clap_status,clap_error
2c16fe40-c1b1-4eed-969e-2e7d9e4577f5,,failed,[Errno 2] No such file or directory: 'ffmpeg'
23195349-89ec-4aa6-adbf-a38775209c77,,failed,[Errno 2] No such file or directory: 'ffmpeg'
f89fec61-59ac-46c9-a50c-04cc4a3a7892,,failed,[Errno 2] No such file or directory: 'ffmpeg'
37e2702d-d7d7-4b04-a34c-be183452c003,,failed,[Errno 2] No such file or directory: 'ffmpeg'
2d6849a9-3f10-424d-a652-a6f7f6a111af,,failed,[Errno 2] No such file or directory: 'ffmpeg'
8175d02c-4cd1-422d-acde-72d9fd95268d,,failed,[Errno 2] No such file or directory: 'ffmpeg'
afec44c3-9e35-415d-b868-d554f420b731,,failed,[Errno 2] No such file or directory: 'ffmpeg'
40933365-0929-4020-92b7-127cca462c06,,failed,[Errno 2] No such file or directory: 'ffmpeg'
7c397f7c-1aaf-4f36-a567-d13c2cd366fc,,failed,[Errno 2] No such file or directory: 'ffmpeg'
784a48b2-d020-4c86-8e14-0289d09c31f9,,failed,[Errno 2] No such file or directory: 'ffmpeg'
0bc7d2ef-d9d7-47f6-9459-e477f6933186,,failed,[Errno 2] No such file or directory: 'ffmpeg'
66708cfa-b436-4c19-9aaa-874d73a2f70d,,failed,[Errno 2] No such file or directory: 'ffmpeg'
21d5931b-b996-4ef7-9546-7df8ac7af36e,,failed,[Errno 2] No such file or directory: 'ffmpeg'
0ccccd0f-f5f4-4957-9311-ec738fb1a339,,failed,[Errno 2] No such file or directory: 'ffmpeg'
bb3a8518-4ab5-4e81-afd0-bd866bf31594,,failed,[Errno 2] No such file or directory: 'ffmpeg'
e1d440d4-6b72-427d-a681-1308ff193023,,failed,[Errno 2] No such file or directory: 'ffmpeg'
727a4fe9-8e0d-4a71-88ef-39414fe2c933,,failed,[Errno 2] No such file or directory: 'ffmpeg'
0762c8c5-d52c-48e1-8caf-510028e48e0d,,failed,[Errno 2] No such file or directory: 'ffmpeg'
d28886ec-b940-4e2f-9439-57616872fd69,,failed,[Errno 2] No such file or directory: 'ffmpeg'
3712c974-d1b2-4c8d-baca-9a932d3a98c8,,failed,[Errno 2] No such file or directory: 'ffmpeg'
9a7d44ba-ebf8-42fe-ba2b-6280704bf898,,failed,[Errno 2] No such file or directory: 'ffmpeg'
989ab65f-336d-44a7-9e4b-bbfa38ad8f20,,failed,[Errno 2] No such file or directory: 'ffmpeg'
dc5e7c3d-7c6a-49a7-8918-56d2042341be,,failed,[Errno 2] No such file or directory: 'ffmpeg'
1b7ec8d6-774e-4734-af4f-6cfb95150584,,failed,[Errno 2] No such file or directory: 'ffmpeg'
77920485-ff3a-48d1-bcc9-8574426cdb16,,failed,[Errno 2] No such file or directory: 'ffmpeg'
cce59760-efbb-4ca9-93a0-b2faccfb2feb,,failed,[Errno 2] No such file or directory: 'ffmpeg'
129c1dc3-d9af-45e3-bba1-c9d0f57640d3,,failed,[Errno 2] No such file or directory: 'ffmpeg'
15e5670d-1018-4d23-935b-0695f38ffa7d,,failed,[Errno 2] No such file or directory: 'ffmpeg'
3a2277b0-3a05-451e-bf76-588e42d2e4a9,,failed,[Errno 2] No such file or directory: 'ffmpeg'
ea39e580-d6fb-4052-af48-4439fee24ff6,,failed,[Errno 2] No such file or directory: 'ffmpeg'
1f476f39-b112-404a-a0fd-dc229ac13761,,failed,[Errno 2] No such file or directory: 'ffmpeg'
708d03bb-29fd-485c-81de-da54702ba599,,failed,[Errno 2] No such file or directory: 'ffmpeg'
d752fdbb-e9d5-41af-ac31-05eddfa18e3f,,failed,[Errno 2] No such file or directory: 'ffmpeg'
ee73a0bb-ac1c-46f7-89e3-9832d21203a7,,failed,[Errno 2] No such file or directory: 'ffmpeg'
51d9300a-dc7d-4758-af24-ebdf846d8d19,,failed,[Errno 2] No such file or directory: 'ffmpeg'
e02bf449-0214-4f0f-b6f2-9ad974db919d,,failed,[Errno 2] No such file or directory: 'ffmpeg'
7abc8b0e-27da-487b-a57d-17bb2c1f60a6,,failed,[Errno 2] No such file or directory: 'ffmpeg'
a2d71567-2c92-45c0-9e68-a7ba5d37200e,,failed,[Errno 2] No such file or directory: 'ffmpeg'
a9849e74-9e5e-4a37-8be5-ff45808c7720,,failed,[Errno 2] No such file or directory: 'ffmpeg'
671b7cd4-ec16-44bf-bb01-a7fba134e37c,,failed,[Errno 2] No such file or directory: 'ffmpeg'
2567a9a7-f8c3-4093-923d-feb3bb2909c9,,failed,[Errno 2] No such file or directory: 'ffmpeg'
e6510e16-7d9a-4018-b15b-88cbc76f2c6d,,failed,[Errno 2] No such file or directory: 'ffmpeg'
8c64790c-a97b-4e57-974f-b9f36478bb87,,failed,[Errno 2] No such file or directory: 'ffmpeg'
df2fecfb-259b-41fa-b2ea-e6bb84f15b72,,failed,[Errno 2] No such file or directory: 'ffmpeg'
86f7c9ee-0eb0-4937-a476-a0fd36affc61,,failed,[Errno 2] No such file or directory: 'ffmpeg'
a06ea007-86db-488f-a178-072b77dd8843,,failed,[Errno 2] No such file or directory: 'ffmpeg'
bff25035-81b0-4aa2-b828-07a8de84b393,,failed,[Errno 2] No such file or directory: 'ffmpeg'
2299e466-2c6c-4227-bf2e-5543489ac896,,failed,[Errno 2] No such file or directory: 'ffmpeg'
15b0b948-690e-4b03-9dcb-631caccc2f5d,,failed,[Errno 2] No such file or directory: 'ffmpeg'
6c7650a8-fce7-4895-8607-a26e8dd6901c,,failed,[Errno 2] No such file or directory: 'ffmpeg'
637f50bc-e5aa-4037-87e1-cdb284ec5559,,failed,[Errno 2] No such file or directory: 'ffmpeg'
3ddb2c52-c5b6-4925-a878-f6243cd59c81,,failed,[Errno 2] No such file or directory: 'ffmpeg'
64de7541-dfaf-41f3-b85b-509de7628722,,failed,[Errno 2] No such file or directory: 'ffmpeg'
6352aabe-739c-4d1b-b822-3cbd78a5923c,,failed,[Errno 2] No such file or directory: 'ffmpeg'
737ee65b-c8fb-4dc6-8dbe-69a893d9868b,,failed,[Errno 2] No such file or directory: 'ffmpeg'
